DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count,Row Labels,Sum of Passenger_Count
5/1/2014 0:00,02-06,Terminal 6,Departure,International,3839,03/01/11,4951799
5/1/2014 0:00,02-06,Terminal 7,Arrival,Domestic,226341,04/01/11,5028216
5/1/2014 0:00,02-06,Terminal 7,Arrival,International,29077,05/01/11,5477064
5/1/2014 0:00,02-06,Terminal 7,Departure,Domestic,224219,06/01/11,5631716
5/1/2014 0:00,02-06,Terminal 7,Departure,International,37687,07/01/11,6071342
5/1/2014 0:00,02-06,Terminal 8,Arrival,Domestic,102735,08/01/11,5918524
5/1/2014 0:00,02-06,Terminal 8,Departure,Domestic,99663,09/01/11,4980320
5/1/2014 0:00,02-06,Tom Bradley International Terminal,Arrival,Domestic,2239,10/01/11,5124604
5/1/2014 0:00,02-06,Tom Bradley International Terminal,Arrival,International,323229,11/01/11,4865106
5/1/2014 0:00,02-06,Tom Bradley International Terminal,Departure,International,301949,12/01/11,5028644
5/1/2014 0:00,03-06,Imperial Terminal,Arrival,Domestic,200,01/01/12,4913489
5/1/2014 0:00,03-06,Imperial Terminal,Departure,Domestic,210,02/01/12,4456512
5/1/2014 0:00,03-06,Misc. Terminal,Arrival,Domestic,727,03/01/12,5252557
5/1/2014 0:00,03-06,Misc. Terminal,Departure,Domestic,601,04/01/12,5161128
5/1/2014 0:00,03-06,Terminal 1,Arrival,Domestic,425575,05/01/12,5412946
5/1/2014 0:00,03-06,Terminal 1,Departure,Domestic,430774,06/01/12,5739904
5/1/2014 0:00,03-06,Terminal 1,Departure,International,602,07/01/12,6190326
5/1/2014 0:00,03-06,Terminal 2,Arrival,Domestic,104482,08/01/12,6093345
5/1/2014 0:00,03-06,Terminal 2,Arrival,International,152411,09/01/12,5054257
5/1/2014 0:00,03-06,Terminal 2,Departure,Domestic,105012,10/01/12,5191471
5/1/2014 0:00,03-06,Terminal 2,Departure,International,151851,11/01/12,4943673
5/1/2014 0:00,03-06,Terminal 3,Arrival,Domestic,139916,12/01/12,5278513
5/1/2014 0:00,03-06,Terminal 3,Arrival,International,26501,01/01/13,5050736
5/1/2014 0:00,03-06,Terminal 3,Departure,Domestic,137800,02/01/13,4482291
5/1/2014 0:00,03-06,Terminal 3,Departure,International,66573,03/01/13,5545523
5/1/2014 0:00,03-06,Terminal 4,Arrival,Domestic,402709,04/01/13,5310497
5/1/2014 0:00,03-06,Terminal 4,Arrival,International,71866,05/01/13,5713956
5/1/2014 0:00,03-06,Terminal 4,Departure,Domestic,413534,06/01/13,6114514
5/1/2014 0:00,03-06,Terminal 4,Departure,International,40511,07/01/13,6468978
5/1/2014 0:00,03-06,Terminal 5,Arrival,Domestic,157999,08/01/13,6330168
5/1/2014 0:00,03-06,Terminal 5,Arrival,International,26383,09/01/13,5308253
5/1/2014 0:00,03-06,Terminal 5,Departure,Domestic,163103,10/01/13,5515805
5/1/2014 0:00,03-06,Terminal 5,Departure,International,25504,11/01/13,5057005
5/1/2014 0:00,03-06,Terminal 6,Arrival,Domestic,211470,12/01/13,5769931
5/1/2014 0:00,03-06,Terminal 6,Arrival,International,6613,01/01/14,5419617
5/1/2014 0:00,03-06,Terminal 6,Departure,Domestic,215690,02/01/14,4765984
5/1/2014 0:00,03-06,Terminal 6,Departure,International,4583,03/01/14,5785094
5/1/2014 0:00,03-06,Terminal 7,Arrival,Domestic,272761,04/01/14,5760137
5/1/2014 0:00,03-06,Terminal 7,Arrival,International,36015,05/01/14,6081009
5/1/2014 0:00,03-06,Terminal 7,Departure,Domestic,280632,06/01/14,6524047
5/1/2014 0:00,03-06,Terminal 7,Departure,International,43017,07/01/14,6872077
5/1/2014 0:00,03-06,Terminal 8,Arrival,Domestic,123912,08/01/14,6717640
5/1/2014 0:00,03-06,Terminal 8,Departure,Domestic,121600,09/01/14,5573460
5/1/2014 0:00,03-06,Tom Bradley International Terminal,Arrival,Domestic,2350,10/01/14,5865886
5/1/2014 0:00,03-06,Tom Bradley International Terminal,Arrival,International,379129,11/01/14,5380445
5/1/2014 0:00,03-06,Tom Bradley International Terminal,Departure,International,347678,12/01/14,5921556
5/1/2014 0:00,04-06,Imperial Terminal,Arrival,Domestic,545,01/01/15,5439194
5/1/2014 0:00,04-06,Imperial Terminal,Departure,Domestic,445,02/01/15,4950595
5/1/2014 0:00,04-06,Misc. Terminal,Arrival,Domestic,512,03/01/15,6026597
5/1/2014 0:00,04-06,Misc. Terminal,Departure,Domestic,426,04/01/15,5938315
5/1/2014 0:00,04-06,Terminal 1,Arrival,Domestic,435996,05/01/15,6356977
5/1/2014 0:00,04-06,Terminal 1,Departure,Domestic,439128,06/01/15,6790278
5/1/2014 0:00,04-06,Terminal 1,Departure,International,811,07/01/15,7275519
5/1/2014 0:00,04-06,Terminal 2,Arrival,Domestic,100241,08/01/15,7109174
5/1/2014 0:00,04-06,Terminal 2,Arrival,International,154905,09/01/15,6027070
5/1/2014 0:00,04-06,Terminal 2,Departure,Domestic,103348,10/01/15,6375052
5/1/2014 0:00,04-06,Terminal 2,Departure,International,147160,11/01/15,6016989
5/1/2014 0:00,04-06,Terminal 3,Arrival,Domestic,131026,12/01/15,6394966
5/1/2014 0:00,04-06,Terminal 3,Arrival,International,25800,01/01/16,6068709
5/1/2014 0:00,04-06,Terminal 3,Departure,Domestic,137904,02/01/16,5466843
5/1/2014 0:00,04-06,Terminal 3,Departure,International,66570,03/01/16,6476274
5/1/2014 0:00,04-06,Terminal 4,Arrival,Domestic,408030,04/01/16,6305765
5/1/2014 0:00,04-06,Terminal 4,Arrival,International,66472,05/01/16,6784001
5/1/2014 0:00,04-06,Terminal 4,Departure,Domestic,413701,06/01/16,7489678
5/1/2014 0:00,04-06,Terminal 4,Departure,International,45322,07/01/16,7889395
5/1/2014 0:00,04-06,Terminal 5,Arrival,Domestic,156099,08/01/16,7595010
5/1/2014 0:00,04-06,Terminal 5,Arrival,International,28977,09/01/16,6603116
5/1/2014 0:00,04-06,Terminal 5,Departure,Domestic,158133,10/01/16,6865238
5/1/2014 0:00,04-06,Terminal 5,Departure,International,28241,11/01/16,6496118
5/1/2014 0:00,04-06,Terminal 6,Arrival,Domestic,211819,12/01/16,6872261
5/1/2014 0:00,04-06,Terminal 6,Arrival,International,9870,01/01/17,6444587
5/1/2014 0:00,04-06,Terminal 6,Departure,Domestic,223222,02/01/17,5604244
5/1/2014 0:00,04-06,Terminal 6,Departure,International,5810,03/01/17,6779400
5/1/2014 0:00,04-06,Terminal 7,Arrival,Domestic,269491,04/01/17,6874237
5/1/2014 0:00,04-06,Terminal 7,Arrival,International,33734,05/01/17,7167451
5/1/2014 0:00,04-06,Terminal 7,Departure,Domestic,270784,06/01/17,7726882
